"","regen_pipo","YEAR.DIFF","BALive_pipo","BALiveTot","CMD_1995","MAP_1995","def59_z_13","REBURN","FIRE.SEV"
"196","0",7,4.72,4.72,744.9,386.17,1.18333331743876,"N",1
"197","0",8,20.67,125.89,526.56,501.01,1.07333336273829,"N",1
"198","1",5,114.55,119.59,550.7,448.08,1.08666667342186,"N",2
"199","1",12,11.27,20.45,507.05,518.48,-1.06000001231829,"Y",3
"200","1",14,23.92,30.08,676.33,450.5,-1.03333334128062,"Y",1
"201","0",11,84.05,103.93,502.66,545.67,1.10666670401891,"N",1
"202","1",4,60.47,110.54,470.75,608.35,0.143333331992229,"N",2
"203","0",9,51.47,63.12,444.35,576.04,1.33000000317891,"N",2
"204","0",3,59.24,91.91,684.71,521.48,0.0800000031789144,"Y",2
"205","0",4,54.91,77.51,693.53,515.63,0.0733333428700765,"Y",1
"206","0",3,10.07,36.38,700.29,492.23,0.113333324591319,"N",2
"207","0",13,47.65,75.06,567.73,579.71,0.136666685342789,"N",3
"208","0",16,50.41,73.37,420.17,680.1,-0.0233333110809326,"N",4
"209","1",14,7.54,27.52,653.75,490.44,0.00666670004526774,"N",2
"210","0",2,0,0,485.36,626.21,1.03333334128062,"Y",4
"211","1",15,159.97,159.97,574.84,669.17,-0.103333326677481,"Y",2
"212","0",4,0,0,597.9,508.56,0.42666665588816,"N",3
"213","0",7,8.61,104.18,527.65,657.52,0.270000000173847,"N",2
"214","1",1,82.84,131.88,613.76,578.28,0.256666680177053,"N",2
"215","0",8,0,0,749.99,593.31,0.246666662395,"N",3
"216","0",8,0,5.55,561.89,743.23,0.733333359162013,"N",4
"217","0",8,0,27.19,599.02,770.19,0.660000016291936,"N",4
"218","0",20,56.69,77.44,651.15,780.24,-0.0300000309944153,"N",3
"219","0",8,104.12,106.43,687.64,529.12,0.713333318630854,"Y",1
"220","0",8,24.14,37.79,817.49,437.46,0.786666641632716,"N",2
"221","1",8,0.88,15.78,694.45,518.51,0.786666661500931,"N",4
"222","1",8,9.68,14.61,573.59,697.33,0.730000009139379,"Y",1
"223","0",8,0,7.91,749,498.62,0.82000000278155,"N",3
"224","0",8,0,13.05,821.35,490.77,0.856666684150696,"N",3
"225","0",8,70.75,70.75,520.76,492.09,0.650000018378099,"Y",1
"226","0",1,4.26,60.07,607.58,384.87,0.42999999721845,"Y",3
"227","1",8,0,0,463.2,381.24,0.209999988476435,"Y",3
"228","0",4,0,0,522.42,314.78,0.170000001788139,"Y",3
"230","0",26,15.19,25.59,433.7,597.6,0.163333332786957,"N",2
"231","0",11,2.04,2.04,540.41,355.3,0.706666678190231,"Y",3
"233","0",10,10.16,10.16,539.92,390.98,0.790000001589457,"N",1
"234","1",2,12.79,12.79,519.84,362.17,-0.610000004371007,"Y",2
"235","0",3,0,0,457.27,682.48,-0.399999996026357,"N",4
"236","0",16,46.65,74.78,356.03,750.74,-0.566666662693024,"N",2
"237","0",3,63.56,63.56,337.82,634.16,-0.413333331545194,"N",2
"238","0",3,0.92,15.12,338.47,789.66,-0.400000013411045,"N",2
"239","0",3,0,0,364.17,697.47,-0.356666674216588,"N",4
"240","0",3,0,0,560.47,532.34,-0.403333336114883,"N",2
"241","0",11,49.83,75.93,460.64,562.69,1.08333333333333,"N",1
"242","0",8,11.72,11.72,596.47,406.27,0.269999990860621,"Y",3
"243","0",8,10.75,21.37,550.04,558.04,0.223333338896434,"Y",2
"244","0",16,44.88,154.8,530.48,655.11,-0.353333334128062,"N",2
"245","0",10,59.79,89.11,559.48,635.75,0.880000007649263,"Y",2
